15:42:07.357 [main] INFO  testcase.My_Account_UserProfile_EditPet - ***** Started going to My account user profile *******
15:42:17.670 [main] INFO  testcase.My_Account_UserProfile_EditPet - ***** Started viewing pet *******
15:42:35.230 [main] INFO  testcase.My_Account_UserProfile_EditPet - ***** Started editing pet in the my pet section *******
15:42:46.014 [main] INFO  testcase.My_Account_UserProfile_EditPet - ***** Started editing pet in the pet health section *******
15:43:47.555 [main] INFO  testcase.My_Account_UserProfile_EditPet - ***** Started adding vet *******
15:44:16.150 [main] INFO  testcase.My_Account_UserProfile_EditPet - ***** The process of editing pet has been successfully completed *******
15:44:16.152 [main] INFO  testcase.Register_Sample_Gut - ***** Started going to My account user profile & delete the pet *******
15:44:26.412 [main] INFO  testcase.Register_Sample_Gut - ***** Started Deleteing pet *******
15:44:42.781 [main] INFO  testcase.Register_Sample_Gut - ***** The pet has been deleted successfully from the my account user profile section *******
17:15:26.283 [main] INFO  testcase.Signin_Existinguser - ***** pop up Accessed successfully *******
17:15:29.807 [main] INFO  testcase.Signin_Existinguser - ***** Log in successfully *******
17:21:50.200 [main] INFO  testcase.Signin_Existinguser - ***** pop up Accessed successfully *******
17:21:53.670 [main] INFO  testcase.Signin_Existinguser - ***** Log in successfully *******
12:03:16.424 [main] INFO  testcase.Signin_Existinguser - ***** pop up Accessed successfully *******
12:03:19.804 [main] INFO  testcase.Signin_Existinguser - ***** Log in successfully *******
